;ID;CLUSTER
703;Ariège | 2011;1
704;Aube | 2011;1
705;Aude | 2011;1
706;Aveyron | 2011;1
707;Bouches-du-Rhône | 2011;1
708;Calvados | 2011;1
709;Cantal | 2011;1
710;Charente | 2011;1
711;Charente-Maritime | 2011;1
712;Cher | 2011;1
713;Corrèze | 2011;1
714;Côte-d'Or | 2011;1
715;Côtes-d'Armor | 2011;1
716;Creuse | 2011;1
717;Dordogne | 2011;1
718;Doubs | 2011;1
719;Drôme | 2011;1
720;Eure | 2011;1
721;Eure-et-Loir | 2011;1
722;Finistère | 2011;1
723;Corse-du-Sud | 2011;1
724;Haute-Corse | 2011;1
725;Gard | 2011;1
726;Haute-Garonne | 2011;1
727;Gers | 2011;1
728;Gironde | 2011;1
729;Hérault | 2011;1
730;Ille-et-Vilaine | 2011;1
731;Indre | 2011;1
732;Indre-et-Loire | 2011;1
733;Isère | 2011;1
734;Jura | 2011;1
735;Landes | 2011;1
736;Loir-et-Cher | 2011;1
737;Loire | 2011;1
738;Haute-Loire | 2011;1
739;Loire-Atlantique | 2011;1
740;Loiret | 2011;1
741;Lot | 2011;1
742;Lot-et-Garonne | 2011;1
743;Lozère | 2011;1
744;Maine-et-Loire | 2011;1
745;Manche | 2011;1
746;Marne | 2011;1
747;Haute-Marne | 2011;1
748;Mayenne | 2011;1
749;Meurthe-et-Moselle | 2011;1
750;Meuse | 2011;1
751;Morbihan | 2011;1
752;Moselle | 2011;1
753;Nièvre | 2011;1
754;Nord | 2011;1
755;Oise | 2011;1
756;Orne | 2011;1
757;Pas-de-Calais | 2011;1
758;Puy-de-Dôme | 2011;1
759;Pyrénées-Atlantiques | 2011;1
760;Hautes-Pyrénées | 2011;1
761;Pyrénées-Orientales | 2011;1
762;Bas-Rhin | 2011;1
763;Haut-Rhin | 2011;1
764;Rhône | 2011;1
765;Haute-Saône | 2011;1
766;Saône-et-Loire | 2011;1
767;Sarthe | 2011;1
768;Savoie | 2011;1
769;Haute-Savoie | 2011;1
